,Title,Count,Published,Days_Since_Published,Views_per_Day
232,Dr Ben Goldacre: Building Evidence into Education,7096,2013-03-15 09:42:57,1706,4.15943728019
377,Whitehall Infants on their behaviour checklist,7094,2011-10-18 16:15:06,2220,3.1954954955
320,Part 1: Teaching primary children communication skills,7047,2012-03-27 15:22:56,2059,3.42253521127
379,Michael Gove visits Nottingham Academy,7032,2011-09-23 14:26:49,2245,3.13229398664
156,The Local Offer,6661,2014-08-22 08:31:23,1181,5.64013547841
425,Reg Bailey talks about his review,6585,2011-06-04 07:15:01,2356,2.79499151104
314,Peer mentoring in secondary school,6571,2012-03-27 15:22:55,2059,3.19135502671
274,Childhood neglect: Lewis Evans' story,6492,2012-06-12 08:35:04,1982,3.27547931382
388,Early Years Foundation Stage: Children create floor sculptures,6414,2011-09-14 09:21:25,2254,2.84560780834
218,School trip: World War 2 evacuation,6334,2013-07-05 09:29:29,1594,3.97365119197
406,Families in the Foundation Years: Enjoying early education,6265,2011-07-13 09:30:24,2317,2.70392749245
65,KS2 Reading - Working at the Expected Standard - Boy in Striped Pyjamas - Group Discussion,6116,2016-04-11 13:28:33,583,10.4905660377
405,Sally Coates talks about the Teachers' Standards Review,5952,2011-07-13 18:45:07,2317,2.56883901597
438,Michael Gove and Tim Loughton announce plans to increase the number and timeliness of adoptions,5924,2011-02-22 17:04:45,2458,2.41008950366
27,Information for parents: 2017 key stage 1 tests,5781,2017-03-28 13:32:04,232,24.9181034483
207,National Curriculum: Interview with Charlie Stripp,5759,2013-10-21 13:50:21,1486,3.87550471063
195,National Curriculum: Sacred Heart RC Primary School,5756,2014-02-18 10:03:48,1366,4.21376281113
297,Anti-bullying showcase event,5583,2012-05-03 13:57:19,2022,2.76112759644
213,Amazing people: SLTchat,5550,2013-09-13 10:57:41,1524,3.64173228346
204,National Curriculum: Interview with Dame Reena Keeble,5399,2013-11-04 10:15:09,1472,3.66779891304
456,Michael Gove on Free Schools,5305,2011-01-28 16:10:01,2483,2.13652839307
279,Childhood neglect: Liam Evans' story,5244,2012-06-12 08:34:51,1982,2.6458123108
391,Early Years Foundation Stage: Children plan a spaceship,5235,2011-09-14 08:48:58,2254,2.32253771074
72,What is an academy?,5226,2016-03-17 13:26:26,608,8.59539473684
466,The benefits of schools converting to academy status: Oakgrove Secondary School,5222,2011-01-05 12:03:50,2506,2.08379888268
439,The benefits of schools converting to academy status: Watford Grammar School for Girls,5052,2011-02-16 17:13:07,2464,2.05032467532
128,Nicky Morgan outlines her plans to tackle teacher workload,5045,2015-02-06 21:49:41,1013,4.98025666338
54,KS1 Reading - Working at the Expected Standard - The Three Little Javelinas,5035,2016-04-28 14:47:15,566,8.89575971731
180,National Curriculum: Alan Kinder on geography,4937,2014-05-06 09:17:12,1289,3.83010085337
422,Michael Gove addresses National College conference,4890,2011-06-16 12:24:29,2344,2.0861774744
269,Childhood neglect: Darren Miller's story,4877,2012-06-12 08:36:05,1982,2.46064581231
304,Confidence through role play: Rhyl Primary School,4779,2012-03-27 15:25:12,2059,2.32102962603
205,National Curriculum: Alison Peacock on primary teaching,4716,2013-10-29 16:51:53,1478,3.19079837618
312,Dyslexia: Inclusion in the primary classroom - clip 1,4702,2012-03-27 15:23:03,2059,2.28363283147
240,Supporting parents and carers in High Peak through CANparent classes,4692,2012-12-20 15:55:08,1791,2.61976549414
130,Education Funding Agency: Introduction to EFA Funding for 16 to 19 year olds,4654,2015-01-28 10:02:49,1022,4.55381604697
271,Childhood neglect: Shireen Evans' story,4556,2012-06-12 08:34:59,1982,2.29868819374
225,What are Studio Schools?,4536,2013-04-09 14:49:17,1681,2.69839381321
465,The benefits of schools converting to academy status: Kemnal Academies Trust,4491,2011-01-05 12:56:02,2506,1.79209896249
252,"£20,000 scholarship for Computer Science teachers",4403,2012-10-19 17:48:42,1853,2.37614678899
171,National Curriculum: Sir Jim Rose on the new curriculum,4373,2014-06-06 08:39:18,1258,3.47615262321
254,GCSE results day,4358,2012-08-23 17:18:32,1910,2.28167539267
378,DfE Behaviour event,4326,2011-09-27 09:06:33,2241,1.93038821954
231,Improving the SEN system in Surrey,4272,2013-03-19 16:15:04,1702,2.50998824912
192,C&F Bill: A look back,4213,2014-03-13 13:51:15,1343,3.13700670141
278,Childhood neglect: Fiona Evans' story,4180,2012-06-12 08:34:43,1982,2.10898082745
435,Review of vocational education - The Wolf Report,4113,2011-03-07 18:02:47,2445,1.68220858896
200,National Curriculum: Andrew Carter on mathematics,4051,2013-12-09 14:56:09,1437,2.81906750174
203,National Curriculum: Pauline Hoyle on the science curriculum,4042,2013-11-04 11:49:40,1472,2.74592391304
340,The importance of positive feedback,3927,2012-03-27 15:19:16,2059,1.90723652258
60,Explore careers: video game level design,3865,2016-04-15 08:55:50,579,6.67530224525
262,Behaviour web chat with Charlie Taylor and Tom Bennett,3856,2012-06-29 12:43:26,1965,1.96234096692
121,"Art, Craft and Design in the National Curriculum",3852,2015-03-18 16:06:31,973,3.95889003083
455,Kempston Academy,3807,2011-01-31 10:32:56,2480,1.53508064516
389,Early Years Foundation Stage: Aeryn talks about sound and art,3767,2011-09-14 09:19:47,2254,1.67125110914
163,Shahed Ahmed on assessment and the national curriculum,3757,2014-07-02 15:04:58,1232,3.04951298701
238,Reforms for better childcare,3693,2013-01-29 08:41:51,1751,2.10908052541
431,Michael Gove on new GCSE data,3653,2011-03-30 15:36:34,2422,1.50825763832
420,Lord Bew on his review into KS2 testing,3541,2011-06-22 20:10:55,2338,1.51454234388
184,Dartford Grammar School: Confucius Classroom of the Year,3490,2014-04-16 18:43:26,1309,2.66615737204
46,2016 GCSE Results: a message from Justine Greening,3481,2016-08-25 08:13:10,447,7.78747203579
161,"Celebration, ambition, inspiration -- Education Reform Summit 2014",3404,2014-07-09 09:34:11,1225,2.7787755102
63,KS2 Reading - Working at the Expected Standard - Poor Vera,3372,2016-04-11 13:30:46,583,5.78387650086
250,Giles Coren's School Food Review,3333,2012-10-26 18:20:59,1846,1.80552546046
221,"School Direct: ""What we produce are outstanding classroom practitioners""",3328,2013-06-20 13:24:50,1609,2.06836544438
397,Nick Gibb: GCSE Results,3316,2011-08-25 07:09:59,2274,1.4582233949
453,Why Jason Died - Part 3 - Multi-agency rapid response,3226,2011-01-31 10:58:29,2480,1.30080645161
365,Nutbrown review,3208,2011-12-07 20:57:30,2170,1.47834101382
66,KS2 Reading - Working at the Expected Standard - Tommy and Sarah,3203,2016-04-11 13:29:08,583,5.49399656947
216,2013 Pupil Premium Awards showcase film,3201,2013-07-08 15:18:16,1591,2.01194217473
96,John McIntosh talks about the opportunity that developing new assessment brings,3161,2015-09-17 11:52:54,790,4.00126582278
173,National Curriculum: Sue Wilkinson on physical education,3143,2014-06-03 14:00:46,1261,2.49246629659
463,Nick Gibb discusses the school performance tables,3125,2011-01-11 20:28:26,2500,1.25
62,KS2 Reading - Working at the Expected Standard - The Executioner's Daughter,3100,2016-04-11 13:29:40,583,5.31732418525
403,Families in the Foundation Years: Caring for newborns,3055,2011-07-14 13:30:40,2316,1.31908462867
400,National Curriculum Review - Youth Consultation Event,3053,2011-07-25 11:05:14,2305,1.32451193059
363,Master Teacher Standards,3029,2011-12-13 17:42:47,2164,1.39972273567
183,National Curriculum: Primary maths,3016,2014-04-24 14:56:32,1301,2.31821675634
354,Adoption myths busted,2988,2012-02-23 16:17:56,2092,1.42829827916
151,National Curriculum: Westfield Community School on Assessment,2985,2014-09-10 10:29:26,1162,2.56884681583
451,Why Jason Died - Part 4 - Post mortem,2917,2011-01-31 11:17:21,2480,1.17620967742
206,National Curriculum: Linda Dupret on languages,2906,2013-10-23 16:07:37,1484,1.95822102426
424,Sarah Teather and Reg Bailey on the Bailey Review.,2870,2011-06-06 17:05:41,2354,1.21920135939
330,Daniel can do - clip 3,2820,2012-03-27 15:23:04,2059,1.36959689169
59,Explore careers: electromechanical engineer apprenticeship,2813,2016-04-15 08:56:20,579,4.85837651123
376,Nick Gibb on school absence statistics,2813,2011-10-18 23:24:51,2220,1.26711711712
190,National Curriculum: Interview with Mark Dorling,2797,2014-03-27 16:33:31,1329,2.10458991723
152,Interview with Nicky Morgan,2741,2014-09-04 09:33:26,1168,2.34674657534
246,Michael Gove speech on child protection,2730,2012-11-21 10:09:26,1820,1.5
210,Amazing people: Teaching languages at Conyers School,2715,2013-09-19 12:17:45,1518,1.78853754941
150,Pupil Premium at Pakeman Primary,2714,2014-09-10 10:30:32,1162,2.33562822719
329,Dyslexia: Inclusion in the primary classroom - clip 2,2634,2012-03-27 15:23:03,2059,1.27926177756
373,Adopting and fostering campaign,2605,2011-10-31 18:29:34,2207,1.18033529678
284,Childhood neglect: Scenario 2 Specialist Child Protection Nurse (part 1),2511,2012-06-12 08:32:49,1982,1.26690211907
276,Childhood neglect: Steve Evans' story,2487,2012-06-12 08:34:48,1982,1.25479313824
61,KS2 Reading - Working at the Expected Standard - The Boy in the Striped Pyjamas 2,2457,2016-04-11 13:32:05,583,4.21440823328
429,How to become an academy: Martin Bayliss give his top tips on the conversion process,2451,2011-04-28 10:31:25,2393,1.02423735896
364,Pupil Premium,2450,2011-12-12 15:29:40,2165,1.13163972286
458,Batley Grammar Free School,2433,2011-01-24 21:56:04,2487,0.978287092883
454,Why Jason Died - Part 2 - Support and investigations,2426,2011-01-31 10:59:00,2480,0.978225806452
228,Charlie Taylor: towards school-led system,2415,2013-03-25 10:52:30,1696,1.42393867925
444,Free Schools Conference: Lesley Longstone and Dr Elizabeth Sidwell speeches,2413,2011-02-08 11:48:48,2472,0.976132686084
370,New scholarships to attract top graduates to teach physics.,2411,2011-11-09 22:16:20,2198,1.09690627843
164,Edward Timpson: Working together on SEND reforms,2408,2014-06-30 09:16:21,1234,1.95137763371
296,Tackling bullying in your school.,2369,2012-05-09 07:09:14,2016,1.17509920635
392,Michael Gove visits Woodpecker Hall Primary Academy,2366,2011-09-07 16:26:30,2261,1.04643962848
93,Computing at Rushey Mead School,2359,2015-09-25 10:18:49,782,3.01662404092
129,Education Funding Agency: Changes to EFA funding for 16 to 19 year olds,2344,2015-01-28 10:03:47,1022,2.29354207436
188,National Curriculum: Carolyn Robson on modern languages,2334,2014-03-28 13:03:11,1328,1.75753012048
301,Teaching literacy emotively Part 1: Milber Primary School,2318,2012-03-27 15:25:11,2059,1.12578921807
58,Explore careers: mechanics apprenticeship,2278,2016-04-15 08:56:37,579,3.93436960276
85,Sue Robb on the role of childminders in delivering the 30 hours entitlement,2270,2015-11-06 10:40:18,740,3.06756756757
174,National Curriculum: Eileen Marchant on physical education,2252,2014-06-03 13:58:27,1261,1.78588421887
94,PISA: information for schools,2224,2015-09-18 15:45:56,789,2.81875792142
186,National Curriculum: Interview with Emma Knights,2220,2014-03-28 13:09:18,1328,1.67168674699
230,Michael Gove: towards a school-led system,2182,2013-03-22 10:14:45,1699,1.28428487345
286,Childhood neglect: Scenario 2 Specialist Child Protection Nurse (part 2),2087,2012-06-12 08:32:44,1982,1.05297679112
281,Childhood neglect: Scenario 3 Children's Social Care (part 2),2082,2012-06-12 08:32:29,1982,1.05045408678
241,Testing SEND reforms in Bromley and Bexley,2080,2012-12-07 10:55:56,1804,1.15299334812
155,Making Decisions,2047,2014-08-22 08:31:01,1181,1.733276884
270,Childhood neglect: Mabina Akhtar's story,2019,2012-06-12 08:35:49,1982,1.01866801211
38,Explore careers: domiciliary care worker,2006,2016-10-25 08:29:33,386,5.19689119171
293,SEN offer for parents.,1999,2012-05-15 06:56:14,2010,0.994527363184
283,Childhood neglect: Scenario 4 Social Work Manager (part 1),1985,2012-06-12 08:32:16,1982,1.0015136226
328,Daniel can do - clip 1,1968,2012-03-27 15:23:03,2059,0.955803788247
287,Childhood neglect: Scenario 4 Social Work Manager (part 2),1943,2012-06-12 08:31:33,1982,0.980322906155
247,Speaking out on bullying,1929,2012-11-19 16:35:03,1822,1.05872667398
137,Adopters share how they got started on their adoption story,1922,2014-12-23 23:53:31,1058,1.81663516068
194,National Curriculum: Arts Council of England,1900,2014-03-04 14:32:06,1352,1.40532544379
117,Student Bursary Support Service portal - Portal overview for providers,1877,2015-05-21 14:49:16,909,2.06490649065
275,Childhood neglect: Scenario 1 Head of year (part1),1851,2012-06-12 08:33:40,1982,0.933905146317
141,Education Funding Agency: 2015 to 2016 post-16 funding allocations,1834,2014-12-11 12:59:31,1070,1.71401869159
181,National Curriculum: Alf Wilkinson on History,1816,2014-05-06 08:24:53,1289,1.40884406517
338,Learning new words in primary school,1811,2012-03-27 15:19:17,2059,0.879553181156
97,Interview with Nicky Morgan and Hélène Galdin-O'Shea,1809,2015-07-22 12:06:20,847,2.13577331759
56,Explore careers: farming,1793,2016-04-15 08:57:26,579,3.09671848014
285,Childhood neglect: Scenario 3 Children's Social Care (part 1),1783,2012-06-12 08:32:38,1982,0.899596367306
448,Why Jason Died - Part 7 - Outcome,1763,2011-01-31 11:33:48,2480,0.710887096774
57,Explore careers: technology project manager,1733,2016-04-15 08:57:08,579,2.99309153713
302,Developing Primary school skills through the e-book: Cape Primary School,1731,2012-03-27 15:25:12,2059,0.840699368626
421,Michael Gove addresses the Policy Exchange,1720,2011-06-21 01:40:51,2340,0.735042735043
361,Positive for Youth - positive society?,1714,2011-12-16 11:20:54,2161,0.793151318834
449,Why Jason Died - Part 5 - Joint home visit,1708,2011-01-31 11:28:22,2480,0.688709677419
469,Aiming High for Disabled Children,1697,2010-12-13 16:55:18,2529,0.671016211941
209,Amazing people: The Wonder Room,1693,2013-10-04 13:48:45,1503,1.12641383899
214,Amazing people: Boston Pioneers,1690,2013-09-03 08:55:01,1534,1.10169491525
261,Review of school food,1678,2012-07-04 22:32:14,1960,0.85612244898
288,Childhood neglect: Scenario 5 Legal Services (part 2),1663,2012-06-12 08:22:33,1982,0.839051463169
437,Make them go away,1655,2011-02-24 11:27:49,2456,0.673859934853
290,Foster Carers: why we need a wide range of carers in the UK,1633,2012-05-24 11:03:19,2001,0.816091954023
157,Post-16 support,1622,2014-08-22 08:30:42,1181,1.3734123624
369,Michael Gove on teaching,1615,2011-11-09 22:38:25,2198,0.734758871702
202,SEN reforms: integrated working,1591,2013-11-08 15:49:24,1468,1.08378746594
91,Minister's visit to school to see Mandarin in action - with Madame Peng Liyuan,1587,2015-10-22 12:34:24,755,2.10198675497
197,Michael Gove speaks about securing our children's future,1584,2014-02-04 00:24:15,1381,1.14699493121
291,Culture change in child protection system,1575,2012-05-22 17:59:41,2003,0.786320519221
323,The importance of the school learning environment,1570,2012-03-27 15:22:57,2059,0.762506070908
313,Asking the right questions: Teaching art and design,1556,2012-03-27 15:23:05,2059,0.755706653715
412,"UKCCIS summit: Professor Tanya Byron, Clinician and Broadcaster, gives a closing summary",1554,2011-06-29 12:15:34,2331,0.666666666667
189,National Curriculum: Darren Henley on music,1550,2014-03-28 13:00:55,1328,1.1671686747
215,10 Characteristics of effective SEN provision,1550,2013-07-22 10:14:17,1577,0.982878883957
191,National Curriculum: Interview with Richard Hallam,1517,2014-03-18 10:46:53,1338,1.13378176383
48,The role of a school business manager in achieving greater financial efficiency,1509,2016-07-06 09:34:36,497,3.03621730382
366,Tackling child sexual exploitation event,1491,2011-12-01 17:34:24,2176,0.685202205882
219,Pupil Premium: Babington Community College,1475,2013-06-28 13:46:13,1601,0.921299188007
162,Dartford Grammar School: Confucius Classrooms,1465,2014-07-04 10:05:28,1230,1.19105691057
233,Reforms to support children and families,1458,2013-02-25 10:33:45,1724,0.845707656613
177,Charlie Taylor on Teaching Schools,1451,2014-05-27 08:08:06,1268,1.14432176656
427,How to become an academy: Rob McDonough's top tips on the conversion process,1435,2011-04-28 10:36:29,2393,0.599665691601
273,Childhood neglect: Scenario 1 Head of year (part2),1431,2012-06-12 08:33:35,1982,0.721997981837
251,School Food Plan: Overview,1423,2012-10-22 15:00:34,1850,0.769189189189
401,JCoSS: Opening ceremony - Jeremy Stowe-Linder,1421,2011-07-25 10:52:42,2305,0.616485900217
226,60 seconds on adoption,1416,2013-04-05 08:23:23,1685,0.840356083086
450,Why Jason Died - Part 6 - Devil in the detail,1382,2011-01-31 11:20:07,2480,0.557258064516
428,How to become an academy: Peter Beavan's top tips on the conversion process,1381,2011-04-28 10:33:57,2393,0.577099874634
253,School Food Plan: Get involved,1360,2012-10-11 07:48:25,1861,0.730789897904
325,Daniel can do - clip 2,1345,2012-03-27 15:23:04,2059,0.653229723167
462,St Luke's Church of England Primary School,1345,2011-01-13 18:13:48,2498,0.538430744596
140,Nicky Morgan visits Werneth School,1340,2014-12-15 13:25:37,1066,1.25703564728
299,Sharon,1335,2012-03-30 08:38:52,2056,0.649319066148
277,Childhood neglect: Saleem Akhtar's story,1331,2012-06-12 08:33:56,1982,0.671543895055
115,Student Bursary Support Service portal - Portal overview for students,1330,2015-05-21 14:54:00,909,1.46314631463
83,The role of the school governor,1306,2016-01-12 10:28:57,673,1.94056463596
73,Changes to EFA funding for 16 to 19 year olds - 2016 to 2017,1282,2016-02-09 09:49:44,645,1.98759689922
255,"Exam Results Helpline: Student story, Holly Bibby",1255,2012-08-07 08:18:27,1926,0.651609553479
80,Module 4: Strategic financial planning,1245,2016-01-12 10:34:00,673,1.84992570579
244,Academies Funding part 1,1239,2012-11-28 13:46:27,1813,0.683397683398
76,Educate Against Hate,1217,2016-01-19 08:08:13,666,1.82732732733
39,Explore careers: Network Rail technical officer,1200,2016-10-25 08:29:55,386,3.10880829016
212,Mandarin Chinese lessons at Mersea Island School,1192,2013-09-16 10:04:46,1521,0.783694937541
105,16 to19 Bursary Fund application form,1183,2015-05-21 14:56:35,909,1.30143014301
49,How curriculum planning can achieve greater financial efficiency,1178,2016-07-06 09:34:36,497,2.37022132797
198,Tollbar Multi-Academy Trust,1161,2014-01-23 17:53:19,1392,0.834051724138
175,National Curriculum: Marie-Louise Brown on citizenship,1153,2014-06-03 13:20:56,1261,0.91435368755
359,Liz Sidwell on Academies,1143,2012-01-06 11:18:54,2140,0.534112149533
139,End of term phone call with the Secretary of State for Education,1139,2014-12-16 17:00:49,1065,1.06948356808
103,Nicky Morgan speaks to pupils at King Solomon Academy,1136,2015-06-16 17:34:53,883,1.28652321631
362,"Primary schools' test results released, December 2011",1127,2011-12-15 15:21:17,2162,0.521276595745
153,Hatfield Community Free School,1127,2014-09-02 14:59:02,1170,0.963247863248
399,JCoSS: Opening ceremony - Parents - Part 1,1120,2011-07-25 11:10:25,2305,0.48590021692
172,National Curriculum: Jane Maguire of Classics for All,1109,2014-06-03 14:12:50,1261,0.87946074544
185,National Curriculum: Caroline Wright and Emma House provide industry advice,1090,2014-04-03 17:42:34,1322,0.824508320726
187,National Curriculum: Zoe Ross on computing,1090,2014-03-28 13:06:01,1328,0.82078313253
104,Nicky Morgan visits School 21,1085,2015-06-05 13:56:34,894,1.21364653244
75,School Level Annual School Census,1082,2016-01-21 13:10:24,664,1.62951807229
235,EPIC advisors interview with Edward Timpson,1068,2013-02-15 11:57:10,1734,0.615916955017
30,Education Funding Agency: 2017 to 2018 post-16 funding allocations,1058,2017-02-03 10:56:11,285,3.71228070175
229,Andrew Day sets out the benefits of School Direct,1041,2013-03-22 16:02:59,1699,0.6127133608
193,#madebyapprentices,1024,2014-03-07 14:43:36,1349,0.759080800593
223,Why choose the School Direct route?,1024,2013-05-03 09:26:05,1657,0.617984308992
34,Parents: The Benefits of #30hours Free Childcare,1024,2017-01-16 10:17:17,303,3.3795379538
446,Free Schools Conference: Address by Prime Minister David Cameron,1008,2011-02-04 12:07:21,2476,0.407108239095
471,Early Support: An integrated approach,1004,2010-12-03 09:32:03,2539,0.395431272154
371,Susanna Daus on adoption and fostering in Islington,995,2011-11-03 00:33:26,2205,0.451247165533
263,Nottingham University Samworth Academy exam exit poll,957,2012-06-29 10:26:34,1965,0.487022900763
457,Stour Valley Community School,952,2011-01-26 14:15:46,2485,0.383098591549
179,Your Life,936,2014-05-09 10:05:29,1286,0.727838258165
265,Overhaul of child protection system,934,2012-06-12 09:01:33,1982,0.471241170535
280,Childhood neglect: Parents' statements,914,2012-06-12 08:33:45,1982,0.461150353179
120,Nicky Morgan on her visits to schools,908,2015-03-19 15:06:38,972,0.934156378601
79,Module 3: financial benchmarking,900,2016-01-12 10:33:47,673,1.33729569094
374,Martin Narey - Advisor on Adoption,899,2011-10-28 15:08:58,2210,0.406787330317
44,David Carter visits Kensington Aldridge Academy,890,2016-09-20 09:38:20,421,2.11401425178
119,GEO Body Confidence,890,2015-03-26 15:56:18,965,0.922279792746
282,Childhood neglect: Scenario 5 Legal Services (part 1),889,2012-06-12 08:31:00,1982,0.448536831483
416,"UKCCIS summit: Sonia Livingstone LSE, on the latest research on children's online experiences",869,2011-06-29 10:45:54,2331,0.372801372801
71,Educational Excellence Everywhere: Nicky Morgan's message to teachers,858,2016-03-22 08:52:13,603,1.42288557214
112,Care to Learn application form - Ofsted number,847,2015-05-21 14:53:15,909,0.931793179318
124,Spring term phone call with the Secretary of State for Education,829,2015-03-04 15:48:43,987,0.839918946302
201,Getting it right for children in need: speech to the NSPCC,815,2013-11-15 10:42:01,1461,0.557837097878
234,Leeds school food event,805,2013-02-21 15:32:46,1728,0.465856481481
245,School Food Plan | Michael Gove,800,2012-11-26 10:41:23,1815,0.440771349862
144,David Meller on why he set up an academy trust,800,2014-11-25 12:00:07,1086,0.73664825046
292,Charlie Taylor's keynote speech to the Academies Show,778,2012-05-16 15:08:50,2009,0.387257341961
470,The benefits of Early Support,777,2010-12-13 16:53:41,2529,0.307236061684
